what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.I20110426-2000,"org.eclipse.ui",1333164922085
started,bundle,org.eclipse.ui.console,3.5.100.v20110413,"org.eclipse.ui.console",1333164922085
started,bundle,org.eclipse.ui.editors,3.7.0.v20110427-1800,"org.eclipse.ui.editors",1333164922085
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1333164922085
started,bundle,org.eclipse.ui.ide,3.7.0.I20110425-1800,"org.eclipse.ui.ide",1333164922085
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110425-1800,"org.eclipse.ui.navigator",1333164922085
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1333164922085
started,bundle,org.eclipse.ui.net,1.2.100.I20110208-0800,"org.eclipse.ui.net",1333164922085
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1333164922085
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110426-2000,"org.eclipse.ui.workbench",1333164922085
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.workbench.texteditor",1333164922085
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333164922085
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1333164922085
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333164922085
started,bundle,com.ti.ccstudio.startupInstaller,5.0.1.201106201802,"com.ti.ccstudio.startupInstaller",1333164922085
started,bundle,com.ti.ccstudio.buildDefinitions.GNU,5.1.0.201106301400,"com.ti.ccstudio.buildDefinitions.GNU",1333164922085
started,bundle,com.ti.ccstudio.buildDefinitions.MSP430,5.1.0.201106301400,"com.ti.ccstudio.buildDefinitions.MSP430",1333164922085
started,bundle,com.ti.ccstudio.buildDefinitions.TMS470,5.1.0.201106301400,"com.ti.ccstudio.buildDefinitions.TMS470",1333164922085
started,bundle,com.ti.ccstudio.buildDefinitions.core,5.1.0.201106301400,"com.ti.ccstudio.buildDefinitions.core",1333164922085
started,bundle,com.ti.ccstudio.builddefinitions.generator,5.1.0.201106301400,"com.ti.ccstudio.builddefinitions.generator",1333164922085
started,bundle,com.ti.ccstudio.core,5.1.0.201106301400,"com.ti.ccstudio.core",1333164922085
started,bundle,com.ti.ccstudio.debug,5.1.0.201106301400,"com.ti.ccstudio.debug",1333164922085
started,bundle,com.ti.ccstudio.debug.server,5.1.0.201106301400,"com.ti.ccstudio.debug.server",1333164922085
started,bundle,com.ti.ccstudio.debug.ui,5.1.0.201106301400,"com.ti.ccstudio.debug.ui",1333164922085
started,bundle,com.ti.ccstudio.errorparser,5.1.0.201106301400,"com.ti.ccstudio.errorparser",1333164922085
started,bundle,com.ti.ccstudio.project.core,5.1.0.201106301400,"com.ti.ccstudio.project.core",1333164922085
started,bundle,com.ti.ccstudio.system.setup,5.1.0.201106301400,"com.ti.ccstudio.system.setup",1333164922085
started,bundle,com.ti.ccstudio.system.setup.ui,5.1.0.201106301400,"com.ti.ccstudio.system.setup.ui",1333164922085
started,bundle,com.ti.ccstudio.ui,5.1.0.201106301400,"com.ti.ccstudio.ui",1333164922085
started,bundle,com.ti.common.core,5.1.0.201106301400,"com.ti.common.core",1333164922085
started,bundle,com.ti.common.project.core,5.1.0.201106301400,"com.ti.common.project.core",1333164922085
started,bundle,com.ti.common.ui,5.1.0.201106301400,"com.ti.common.ui",1333164922085
started,bundle,org.eclipse.rtsc.xdctools.buildDefinitions,2.1.0.201106301400,"org.eclipse.rtsc.xdctools.buildDefinitions",1333164922085
started,bundle,org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS,2.1.0.201106301400,"org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS",1333164922085
started,bundle,org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.40,2.0.0.201106301400,"org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.40",1333164922085
started,bundle,org.eclipse.rtsc.xdctools.buildDefinitions.XDC,2.1.0.201106301400,"org.eclipse.rtsc.xdctools.buildDefinitions.XDC",1333164922085
started,bundle,org.eclipse.rtsc.xdctools.managedbuild.core,2.1.0.201106301400,"org.eclipse.rtsc.xdctools.managedbuild.core",1333164922085
started,bundle,org.eclipse.rtsc.xdctools.parsers,3.22.1.21,"org.eclipse.rtsc.xdctools.parsers",1333164922085
os,sysinfo,,,"win32",1333164922101
arch,sysinfo,,,"x86",1333164922101
ws,sysinfo,,,"win32",1333164922101
locale,sysinfo,,,"en_CA",1333164922101
processors,sysinfo,,,"2",1333164922101
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333164922101
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1333164922101
java.specification.name,sysinfo,,,"Java Platform API Specification",1333164922101
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333164922101
java.specification.version,sysinfo,,,"1.6",1333164922101
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333164922101
java.version,sysinfo,,,"1.6.0_21",1333164922101
java.vm.info,sysinfo,,,"mixed mode, sharing",1333164922101
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333164922101
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333164922101
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333164922101
java.vm.specification.version,sysinfo,,,"1.0",1333164922101
